Category,Retailer,SKU,PN,URL,Price,Avg Rating,Rating Count
Dishwashers,PC Richard,FGBD2438PB,FGBD2438PB,http://www.pcrichard.com/Frigidaire-Gallery/Frigidaire-Gallery-24inch-Built-In-Dishwasher-Black/FGBD2438PB.pcrp?catId=201020,386,,
Dishwashers,PC Richard,FGBD2438PW,FGBD2438PW,http://www.pcrichard.com/Frigidaire-Gallery/Frigidaire-Gallery-24inch-Built-In-Dishwasher-White/FGBD2438PW.pcrp?catId=201020,386,,
Dishwashers,PC Richard,FGID2466QB,FGID2466QB,http://www.pcrichard.com/Frigidaire-Gallery/Frigidaire-Gallery-24inch-Built-In-Dishwasher-Black/FGID2466QB.pcrp?catId=201020,449,,
Dishwashers,PC Richard,FGID2466QF,FGID2466QF,http://www.pcrichard.com/Frigidaire-Gallery/Frigidaire-Gallery-24inch-Built-In-Dishwasher-Stainless-Steel/FGID2466QF.pcrp?catId=201020,539,,
Dishwashers,PC Richard,FGID2466QW,FGID2466QW,http://www.pcrichard.com/Frigidaire-Gallery/Frigidaire-Gallery-24inch-Built-In-Dishwasher-White/FGID2466QW.pcrp?catId=201020,449,,
Dishwashers,PC Richard,FGID2474QF,FGID2474QF,http://www.pcrichard.com/Frigidaire-Gallery/Frigidaire-Gallery-24inch-Built-In-Dishwasher-Stainless-Steel/FGID2474QF.pcrp?catId=201020,629,,
Dishwashers,PC Richard,GDF510PSDSS,GDF510PSDSS,http://www.pcrichard.com/GE/GE-24inch-Built-In-Dishwasher-Stainless-Steel/GDF510PSDSS.pcrp?catId=201020,449,,
Dishwashers,PC Richard,GDF520PGDBB,GDF520PGDBB,http://www.pcrichard.com/GE/GE-24inch-Built-In-Dishwasher-Black/GDF520PGDBB.pcrp?catId=201020,404,,
Dishwashers,PC Richard,GDF520PGDWW,GDF520PGDWW,http://www.pcrichard.com/GE/GE-24inch-Built-In-Dishwasher-White/GDF520PGDWW.pcrp?catId=201020,404,,
Dishwashers,PC Richard,GDF520PSFSS,GDF520PSFSS,http://www.pcrichard.com/GE/GE-24inch-Built-In-Dishwasher-Stainless-Steel/GDF520PSFSS.pcrp?catId=201020,494,,
Dishwashers,PC Richard,GDF540HGDWW,GDF540HGDWW,http://www.pcrichard.com/GE/GE-24inch-Built-In-Dishwasher-White/GDF540HGDWW.pcrp?catId=201020,449,,
Dishwashers,PC Richard,GDF540HMFES,GDF540HMFES,http://www.pcrichard.com/GE/GE-24inch-Built-In-Dishwasher-Slate/GDF540HMFES.pcrp?catId=201020,539,,
